15:59:58.144 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
15:59:58.150 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
16:00:00.896 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
16:00:00.923 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
16:00:00.929 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 2
16:00:04.524 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
16:00:04.541 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
16:00:04.542 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
16:00:04.550 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
16:00:05.216 [TestNG-tests-1] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
16:00:06.096 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
16:00:06.116 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
16:00:06.116 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
16:00:06.125 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
16:00:06.752 [TestNG-tests-2] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
16:00:08.289 [TestNG-tests-1] INFO  BasePackage.BaseClass - WebDriver has been closed.
16:00:09.848 [TestNG-tests-2] INFO  BasePackage.BaseClass - WebDriver has been closed.
12:38:36.811 [TestNG-tests-2] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
12:38:40.324 [TestNG-tests-1] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
12:38:44.209 [TestNG-tests-1] INFO  BasePackage.BaseClass - Switching to the iframe
12:38:44.245 [TestNG-tests-1] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
12:38:46.601 [TestNG-tests-2] INFO  BasePackage.BaseClass - Switching to the iframe
12:38:46.636 [TestNG-tests-2] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
12:38:57.722 [TestNG-tests-2] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
12:38:57.722 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:38:57.760 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
12:38:57.771 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 1
12:38:58.759 [TestNG-tests-1] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
12:38:58.760 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:38:58.796 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
12:38:58.810 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 1
12:38:59.938 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:38:59.965 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:38:59.966 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
12:38:59.972 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:39:00.612 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:39:00.630 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:39:00.631 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
12:39:00.637 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:39:00.983 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:39:01.006 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
12:39:01.012 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 2
12:39:01.668 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:39:01.690 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
12:39:01.696 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 2
12:39:13.590 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:39:13.590 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:39:13.605 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:39:13.605 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
12:39:13.606 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:39:13.607 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
12:39:13.614 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:39:13.614 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:39:14.516 [TestNG-tests-2] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
12:39:14.516 [TestNG-tests-1] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
12:39:17.906 [TestNG-tests-2] INFO  BasePackage.BaseClass - WebDriver has been closed.
12:39:17.942 [TestNG-tests-1] INFO  BasePackage.BaseClass - WebDriver has been closed.
12:45:58.493 [TestNG-tests-1] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
12:46:02.761 [TestNG-tests-2] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
12:46:04.140 [TestNG-tests-1] INFO  BasePackage.BaseClass - Switching to the iframe
12:46:04.186 [TestNG-tests-1] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
12:46:06.789 [TestNG-tests-2] INFO  BasePackage.BaseClass - Switching to the iframe
12:46:06.821 [TestNG-tests-2] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
12:46:13.787 [TestNG-tests-1] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
12:46:13.787 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:46:13.829 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
12:46:13.851 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 1
12:46:15.625 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:46:15.648 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:46:15.648 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
12:46:15.657 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:46:16.565 [TestNG-tests-2] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
12:46:16.565 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:46:16.595 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
12:46:16.601 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 1
12:46:16.806 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
